ParkName,ParkCode,PeriodID,Season,Period_StartDate,Period_EndDate,EventID,Event_StartDate,Event_EndDate
Buffalo National River,BUFF,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Nov29,11/29/2017 0:00:00,11/29/2017 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Dec01,12/1/2017 0:00:00,12/1/2017 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Dec04,12/4/2017 0:00:00,12/4/2017 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Nov30,11/30/2017 0:00:00,11/30/2017 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Dec08,12/8/2017 0:00:00,12/8/2017 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov21,11/21/2019 0:00:00,11/21/2019 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov04,11/4/2019 0:00:00,11/4/2019 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov05,11/5/2019 0:00:00,11/5/2019 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov06,11/6/2019 0:00:00,11/6/2019 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov18,11/18/2019 0:00:00,11/18/2019 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov19,11/19/2019 0:00:00,11/19/2019 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov20,11/20/2019 0:00:00,11/20/2019 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov10,11/10/2021 0:00:00,11/10/2021 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov09,11/9/2021 0:00:00,11/9/2021 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov08,11/8/2021 0:00:00,11/8/2021 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov04,11/4/2021 0:00:00,11/4/2021 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov03,11/3/2021 0:00:00,11/3/2021 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov01,11/1/2021 0:00:00,11/1/2021 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov02,11/2/2021 0:00:00,11/2/2021 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2023Nov01,2023,11/1/2023 0:00:00,11/14/2023 0:00:00,BUFFRMINVE2023Nov07,11/7/2023 0:00:00,11/7/2023 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2023Nov01,2023,11/1/2023 0:00:00,11/14/2023 0:00:00,BUFFRMINVE2023Nov14,11/14/2023 0:00:00,11/14/2023 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2023Nov01,2023,11/1/2023 0:00:00,11/14/2023 0:00:00,BUFFRMINVE2023Nov08,11/8/2023 0:00:00,11/8/2023 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2023Nov01,2023,11/1/2023 0:00:00,11/14/2023 0:00:00,BUFFRMINVE2023Nov01,11/1/2023 0:00:00,11/1/2023 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2023Nov01,2023,11/1/2023 0:00:00,11/14/2023 0:00:00,BUFFRMINVE2023Nov02,11/2/2023 0:00:00,11/2/2023 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2023Nov01,2023,11/1/2023 0:00:00,11/14/2023 0:00:00,BUFFRMINVE2023Nov03,11/3/2023 0:00:00,11/3/2023 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2023Nov01,2023,11/1/2023 0:00:00,11/14/2023 0:00:00,BUFFRMINVE2023Nov06,11/6/2023 0:00:00,11/6/2023 0:00:00
