ParkName,ParkCode,LocationID,PeriodID,EventID,RiffleNo,RiffleLength,Temperature,SpecificConductance,pH,DO,Turbidity,Note
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan04,3,-999.00,6.70,173.10,7.90,12.82,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2013Nov21,BUFFRMINVE2013Dec04,1,-999.00,12.90,189.30,8.06,11.85,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2013Nov21,BUFFRMINVE2013Dec04,2,-999.00,12.70,189.60,8.21,11.51,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2013Nov21,BUFFRMINVE2013Dec04,3,-999.00,12.40,189.70,8.20,11.65,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2015Nov23,BUFFRMINVE2015Nov24,1,-999.00,11.10,202.50,7.87,11.20,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2015Nov23,BUFFRMINVE2015Nov24,2,-999.00,11.00,203.90,7.81,11.09,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2015Nov23,BUFFRMINVE2015Nov24,3,-999.00,11.00,204.20,7.83,10.86,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2017Nov15,BUFFRMINVE2017Nov16,1,-999.00,14.60,230.90,8.22,10.04,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2017Nov15,BUFFRMINVE2017Nov16,2,-999.00,13.60,232.10,8.24,9.84,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2017Nov15,BUFFRMINVE2017Nov16,3,-999.00,14.00,231.70,8.27,9.91,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov18,1,-999.00,10.10,168.70,8.10,11.58,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov18,2,-999.00,10.20,169.30,8.19,11.46,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov18,3,-999.00,10.20,168.90,8.25,11.36,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov03,1,-999.00,14.20,224.80,8.09,11.17,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov03,2,-999.00,14.40,218.80,7.85,11.25,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov03,3,-999.00,14.90,223.30,7.99,11.48,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov03,1,-999.00,11.90,185.30,8.03,10.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov03,2,-999.00,11.50,185.30,8.05,10.61,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov03,3,-999.00,11.40,185.30,8.03,11.08,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,1,62.00,5.50,171.80,5.12,12.96,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,2,37.00,5.30,174.40,7.82,13.77,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,3,23.00,5.30,173.30,7.50,14.60,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB22,1,16.00,10.80,163.70,7.53,10.80,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB22,2,40.00,10.40,135.10,7.32,10.71,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB22,3,11.80,10.30,201.00,7.29,10.02,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov29,1,25.00,8.70,171.10,7.74,10.22,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov29,2,36.00,9.80,177.70,7.96,9.19,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov29,3,25.00,9.10,171.50,7.66,9.37,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec11,1,-999.00,6.30,163.80,7.66,10.56,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec11,2,-999.00,6.50,165.40,8.17,13.10,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec11,3,-999.00,7.00,158.10,8.27,13.65,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan12,1,-999.00,3.20,214.50,7.88,15.17,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan12,2,-999.00,3.30,215.60,7.88,15.41,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan12,3,-999.00,3.50,215.90,7.78,15.28,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan10,1,-999.00,8.90,192.50,8.02,12.18,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan10,2,-999.00,8.90,198.60,8.06,12.10,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan10,3,-999.00,8.90,197.70,8.14,12.27,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2013Nov21,BUFFRMINVE2014Jan30,1,-999.00,2.80,187.50,8.24,14.65,-999.00,
