geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
EFMO_InvPla_184	43.08444	43.08444	-91.183198	-91.183198
EFMO_InvPla_141	43.08887	43.08887	-91.19283	-91.19283
EFMO_InvPla_116	43.091455	43.091455	-91.196622	-91.196622
EFMO_InvPla_160	43.087623	43.087623	-91.194947	-91.194947
EFMO_InvPla_180	43.085565	43.085565	-91.192904	-91.192904
EFMO_InvPla_181	43.085284	43.085284	-91.190478	-91.190478
EFMO_InvPla_139	43.089684	43.089684	-91.196991	-91.196991
PERI_InvPla_52	36.459435	36.459435	-94.034165	-94.034165
PERI_InvPla_54	36.464588	36.464588	-94.02792	-94.02792
PERI_InvPla_55	36.467058	36.467058	-94.025353	-94.025353
PERI_InvPla_67	36.462001	36.462001	-94.024763	-94.024763
PERI_InvPla_47	36.44655	36.44655	-94.049774	-94.049774
PERI_InvPla_48	36.449127	36.449127	-94.046653	-94.046653
PERI_InvPla_49	36.451704	36.451704	-94.043531	-94.043531
PERI_InvPla_50	36.454281	36.454281	-94.04041	-94.04041
PERI_InvPla_56	36.434254	36.434254	-94.057544	-94.057544
PERI_InvPla_59	36.441451	36.441451	-94.049706	-94.049706
PERI_InvPla_60	36.444028	36.444028	-94.046584	-94.046584
PERI_InvPla_61	36.446605	36.446605	-94.043463	-94.043463
PERI_InvPla_62	36.449182	36.449182	-94.040342	-94.040342
PERI_InvPla_63	36.451759	36.451759	-94.03722	-94.03722
PERI_InvPla_66	36.459489	36.459489	-94.027853	-94.027853
PERI_InvPla_114	36.445459	36.445459	-94.015584	-94.015584
PERI_InvPla_5	36.46689	36.46689	-94.056362	-94.056362
PERI_InvPla_7	36.470945	36.470945	-94.050588	-94.050588
PERI_InvPla_10	36.464368	36.464368	-94.053171	-94.053171
PERI_InvPla_11	36.466945	36.466945	-94.050049	-94.050049
PERI_InvPla_12	36.469021	36.469021	-94.047297	-94.047297
PERI_InvPla_81	36.439821	36.439821	-94.04078	-94.04078
PERI_InvPla_82	36.441655	36.441655	-94.037089	-94.037089
