geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
1707	36.45554417	36.45554417	-94.0463572	-94.0463572
1708	36.44713737	36.44713737	-94.02567159	-94.02567159
1709	36.44249233	36.44249233	-94.02919686	-94.02919686
1710	36.44029447	36.44029447	-94.03753701	-94.03753701
1711	36.44272552	36.44272552	-94.05192361	-94.05192361
1712	36.44410525	36.44410525	-94.05221439	-94.05221439
1713	36.45316931	36.45316931	-94.05076074	-94.05076074
1714	36.45332823	36.45332823	-94.05066694	-94.05066694
1715	36.45365509	36.45365509	-94.05045086	-94.05045086
1716	36.45554952	36.45554952	-94.04631712	-94.04631712
1717	36.44476599	36.44476599	-94.02672203	-94.02672203
1718	36.44242207	36.44242207	-94.02930815	-94.02930815
1719	36.44029119	36.44029119	-94.03665626	-94.03665626
1720	36.44279044	36.44279044	-94.05191393	-94.05191393
1721	36.45332053	36.45332053	-94.05067123	-94.05067123
1722	36.45367883	36.45367883	-94.05042565	-94.05042565
1723	36.45436658	36.45436658	-94.04917805	-94.04917805
1724	36.4554918	36.4554918	-94.04653885	-94.04653885
1725	36.44497059	36.44497059	-94.02664041	-94.02664041
1726	36.44318479	36.44318479	-94.02803932	-94.02803932
1727	36.44203998	36.44203998	-94.02995359	-94.02995359
1728	36.44165225	36.44165225	-94.03063391	-94.03063391
1729	36.44128842	36.44128842	-94.03127016	-94.03127016
1730	36.4402983	36.4402983	-94.03748841	-94.03748841
1731	36.44028091	36.44028091	-94.04273482	-94.04273482
1732	36.440342	36.440342	-94.04322709	-94.04322709
1733	36.44098442	36.44098442	-94.04819615	-94.04819615
1734	36.44164401	36.44164401	-94.05189203	-94.05189203
1735	36.44412566	36.44412566	-94.05222429	-94.05222429
1736	36.45304345	36.45304345	-94.05082573	-94.05082573
1737	36.45754737	36.45754737	-94.04395127	-94.04395127
1738	36.46015359	36.46015359	-94.04279405	-94.04279405
1739	36.46008715	36.46008715	-94.04244398	-94.04244398
1740	36.45611626	36.45611626	-94.02225554	-94.02225554
1741	36.44957034	36.44957034	-94.02168079	-94.02168079
1742	36.44750858	36.44750858	-94.02525698	-94.02525698
1743	36.44112009	36.44112009	-94.03151887	-94.03151887
1744	36.4403361	36.4403361	-94.03403718	-94.03403718
1745	36.44027548	36.44027548	-94.03677949	-94.03677949
1746	36.44013255	36.44013255	-94.04747468	-94.04747468
1747	36.45062103	36.45062103	-94.05133919	-94.05133919
1748	36.45386827	36.45386827	-94.05023123	-94.05023123
1749	36.45815528	36.45815528	-94.04478202	-94.04478202
1750	36.46022195	36.46022195	-94.04306481	-94.04306481
1751	36.46361937	36.46361937	-94.03540213	-94.03540213
1752	36.4561314	36.4561314	-94.02224024	-94.02224024
1753	36.44478794	36.44478794	-94.02671135	-94.02671135
1754	36.44028299	36.44028299	-94.0368453	-94.0368453
1755	36.45362673	36.45362673	-94.05047799	-94.05047799
1756	36.46028947	36.46028947	-94.0434546	-94.0434546
1757	36.45603121	36.45603121	-94.02231101	-94.02231101
1758	36.44719395	36.44719395	-94.02561305	-94.02561305
1759	36.44503673	36.44503673	-94.02661068	-94.02661068
1760	36.44096489	36.44096489	-94.03181773	-94.03181773
1761	36.45320533	36.45320533	-94.0507444	-94.0507444
1762	36.45606833	36.45606833	-94.0222845	-94.0222845
1763	36.44273318	36.44273318	-94.0287981	-94.0287981
1764	36.44135761	36.44135761	-94.03109981	-94.03109981
1765	36.44080361	36.44080361	-94.03219548	-94.03219548
1766	36.44044951	36.44044951	-94.03334647	-94.03334647
1767	36.44026666	36.44026666	-94.03568324	-94.03568324
1768	36.44026278	36.44026278	-94.03566847	-94.03566847
1769	36.44028632	36.44028632	-94.03746693	-94.03746693
1770	36.44033491	36.44033491	-94.04317213	-94.04317213
1771	36.45072499	36.45072499	-94.05138541	-94.05138541
1772	36.4563765	36.4563765	-94.02203836	-94.02203836
1773	36.45386928	36.45386928	-94.02060083	-94.02060083
1774	36.45164608	36.45164608	-94.01804788	-94.01804788
1775	36.44136464	36.44136464	-94.03110836	-94.03110836
1776	36.44137578	36.44137578	-94.03108785	-94.03108785
1777	36.44047332	36.44047332	-94.03327929	-94.03327929
1778	36.44033603	36.44033603	-94.03400263	-94.03400263
1779	36.44035546	36.44035546	-94.04349397	-94.04349397
1780	36.4548686	36.4548686	-94.04803373	-94.04803373
1781	36.45644377	36.45644377	-94.02199198	-94.02199198
1782	36.45387486	36.45387486	-94.02041287	-94.02041287
1783	36.45354428	36.45354428	-94.0187325	-94.0187325
1784	36.45163836	36.45163836	-94.01805843	-94.01805843
1785	36.44127366	36.44127366	-94.03126622	-94.03126622
1786	36.44027492	36.44027492	-94.0364674	-94.0364674
1787	36.44031594	36.44031594	-94.04296422	-94.04296422
1788	36.4458945	36.4458945	-94.05194322	-94.05194322
1789	36.45090457	36.45090457	-94.05143843	-94.05143843
1790	36.45386654	36.45386654	-94.02029074	-94.02029074
1791	36.45353925	36.45353925	-94.01864077	-94.01864077
1792	36.45164632	36.45164632	-94.01805661	-94.01805661
1793	37.11704082	37.11704082	-93.40856214	-93.40856214
1794	37.11658051	37.11658051	-93.40746352	-93.40746352
