ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,tbl_Locations_StreamName,TributaryName,County,StretchNumber,ReachID,PeriodID,Season,StartDate,EndDate,EventID,GaugeSiteNo,tlu_GaugeStations_StreamName,GaugeLocation,Discharge_cms,Units
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM01,01,Mainstem,,Jacks Fork,,Shannon,104,JACKM01,OZARRMINVE2016Nov01,2016,11/1/2016 0:00:00,11/10/2016 0:00:00,OZARRMINVE2016Nov01,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,1.18,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM01,01,Mainstem,,Jacks Fork,,Shannon,104,JACKM01,OZARRMINVE2018Nov07,2018,11/7/2018 0:00:00,11/20/2018 0:00:00,OZARRMINVE2018Nov07,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,5.29,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM01,01,Mainstem,,Jacks Fork,,Shannon,104,JACKM01,OZARRMINVE2020Nov17,2020,11/17/2020 0:00:00,1/14/2021 0:00:00,OZARRMINVE2020Dec08,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,2.23,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM01,01,Mainstem,,Jacks Fork,,Shannon,104,JACKM01,OZARRMINVE2022Oct25,2022,10/25/2022 0:00:00,11/4/2022 0:00:00,OZARRMINVE2022Oct25,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,1.80,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM02,02,Mainstem,,Jacks Fork,,Shannon,114,JACKM02,OZARRMINVE2012Nov13,2012,11/13/2012 0:00:00,12/5/2012 0:00:00,OZARRMINVE2012Dec04,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,0.96,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM02,02,Mainstem,,Jacks Fork,,Shannon,114,JACKM02,OZARRMINVE2014Nov05,2014,11/5/2014 0:00:00,11/19/2014 0:00:00,OZARRMINVE2014Nov05,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,1.73,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM02,02,Mainstem,,Jacks Fork,,Shannon,114,JACKM02,OZARRMINVE2016Nov01,2016,11/1/2016 0:00:00,11/10/2016 0:00:00,OZARRMINVE2016Nov01,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,1.18,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM02,02,Mainstem,,Jacks Fork,,Shannon,114,JACKM02,OZARRMINVE2018Nov07,2018,11/7/2018 0:00:00,11/20/2018 0:00:00,OZARRMINVE2018Nov07,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,5.29,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM02,02,Mainstem,,Jacks Fork,,Shannon,114,JACKM02,OZARRMINVE2020Nov17,2020,11/17/2020 0:00:00,1/14/2021 0:00:00,OZARRMINVE2020Dec10,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,2.06,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM02,02,Mainstem,,Jacks Fork,,Shannon,114,JACKM02,OZARRMINVE2022Oct25,2022,10/25/2022 0:00:00,11/4/2022 0:00:00,OZARRMINVE2022Oct25,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,1.95,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM03,03,Mainstem,,Jacks Fork,,Shannon,123,JACKM 03,OZARRMINVE2012Nov13,2012,11/13/2012 0:00:00,12/5/2012 0:00:00,OZARRMINVE2012Dec05,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,1.08,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM03,03,Mainstem,,Jacks Fork,,Shannon,123,JACKM 03,OZARRMINVE2014Nov05,2014,11/5/2014 0:00:00,11/19/2014 0:00:00,OZARRMINVE2014Nov06,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,1.84,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM03,03,Mainstem,,Jacks Fork,,Shannon,123,JACKM 03,OZARRMINVE2016Nov01,2016,11/1/2016 0:00:00,11/10/2016 0:00:00,OZARRMINVE2016Nov02,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,1.16,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM03,03,Mainstem,,Jacks Fork,,Shannon,123,JACKM 03,OZARRMINVE2018Nov07,2018,11/7/2018 0:00:00,11/20/2018 0:00:00,OZARRMINVE2018Nov07,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,3.82,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM03,03,Mainstem,,Jacks Fork,,Shannon,123,JACKM 03,OZARRMINVE2020Nov17,2020,11/17/2020 0:00:00,1/14/2021 0:00:00,OZARRMINVE2020Nov30,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,4.50,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM03,03,Mainstem,,Jacks Fork,,Shannon,123,JACKM 03,OZARRMINVE2022Oct25,2022,10/25/2022 0:00:00,11/4/2022 0:00:00,OZARRMINVE2022Oct26,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,2.02,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2006JAN03,2005,1/3/2006 0:00:00,1/24/2006 0:00:00,OZARRMINVE2006JAN24,7067000,Current River,Current River at Van Buren, MO ,28.03,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2006NOV14,2006,11/14/2006 0:00:00,12/19/2006 0:00:00,OZARRMINVE2006NOV14,7067000,Current River,Current River at Van Buren, MO ,45.31,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2007Nov01,2007,11/1/2007 0:00:00,11/14/2007 0:00:00,OZARRMINVE2007Nov05,7067000,Current River,Current River at Van Buren, MO ,20.73,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2008Nov05,2008,11/5/2008 0:00:00,11/21/2008 0:00:00,OZARRMINVE2008Nov20,7067000,Current River,Current River at Van Buren, MO ,25.32,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2009Nov06,2009,11/6/2009 0:00:00,12/3/2009 0:00:00,OZARRMINVE2009Dec03,7067000,Current River,Current River at Van Buren, MO ,45.59,meters
