TaxonCode,TSN,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
PSYHPA,115388,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Paduniella,0,Sc,Scrapers
PSYHLYD,115391,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Lype,4.3,C,Collectors
HYDSDI,115399,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Diplectrona,2.2,F,Filterers
HYDSCH,115408,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Cheumatopsyche,6.6,F,Filterers
HYDSHY,115453,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Hydropsyche,8.1,F,Filterers
HYDSPO,115551,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Potamyia,2.5,F,Filterers
HYDTHY,115641,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Hydroptila,6.2,He,Herbivores
HYDTHY,115641,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Hydroptila,6.2,Sc,Scrapers
HYDTOC,115714,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ochrotrichia,7.2,C,Collectors
HYDTOC,115714,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ochrotrichia,7.2,He,Herbivores
HYDTOX,115779,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Oxyethira,5.2,He,Herbivores
HYDTOX,115779,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Oxyethira,5.2,C,Collectors
HYDTST,115817,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Stactobiella,2.75,Sh,Shredders
HYDTIT,115823,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ithytrichia,4,Sc,Scrapers
HYDTDI,115826,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Dibusa,2,Sc,Scrapers
HYDTNE,115833,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Neotrichia,3.6,Sc,Scrapers
PHRYAG,115882,Arthropoda,Insecta,Trichoptera,Phryganeidae,,Agrypnia,4.6,Sh,Shredders
THRENE,116046,Arthropoda,Insecta,Trichoptera,Thremmatidae,,Neophylax,1.6,Sc,Scrapers
LIMNIR,116382,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Ironoquia,7.3,C,Collectors
LIMNIR,116382,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Ironoquia,7.3,Sh,Shredders
LIMNPY,116409,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Pycnopsyche,2.5,C,Collectors
LIMNPY,116409,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Pycnopsyche,2.5,Sh,Shredders
MOLAMO,116474,Arthropoda,Insecta,Trichoptera,Molannidae,,Molanna,3.9,Sh,Shredders
MOLAMO,116474,Arthropoda,Insecta,Trichoptera,Molannidae,,Molanna,3.9,C,Collectors
ODONMA,116514,Arthropoda,Insecta,Trichoptera,Odontoceridae,,Marilia,0,Sh,Shredders
LEPCSE,116548,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Setodes,0.9,Pr,Predators
LEPCSE,116548,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Setodes,0.9,C,Collectors
LEPCTR,116565,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Triaenodes,4.3,Sh,Shredders
LEPCMY,116598,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Mystacides,3.5,C,Collectors
LEPCOE,116607,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Oecetis,5.7,Pr,Predators
LEPCOE,116607,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Oecetis,5.7,He,Herbivores
LEPCNE,116651,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Nectopsyche,4.2,C,Collectors
LEPCNE,116651,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Nectopsyche,4.2,Sh,Shredders
LEPCCE,116684,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Ceraclea,6.4,Sh,Shredders
