ParkName,ParkCode,LocationID,PeriodID,EventID,GaugeSiteNo,StreamName,GaugeLocation,Discharge_cms,Comments,Units
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2020Nov17,OZARRMINVE2021Jan05,7067000,Current River,Current River at Van Buren. MO,77.59,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2022Oct25,OZARRMINVE2022Oct28,7067000,Current River,Current River at Van Buren. MO,32.56,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2006JAN03,OZARRMINVE2006JAN18,7067000,Current River,Current River at Van Buren. MO,33.7,cms,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2006NOV14,OZARRMINVE2006DEC19,7067000,Current River,Current River at Van Buren. MO,43.04,cms,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2007Nov01,OZARRMINVE2007Nov02,7067000,Current River,Current River at Van Buren. MO,20.98,Van Buren Gage,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2008Nov05,OZARRMINVE2008Nov21,7067000,Current River,Current River at Van Buren. MO,25.03,VanBuren Gage=25.03,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2009Nov06,OZARRMINVE2009Dec03,7067000,Current River,Current River at Van Buren. MO,45.59,m3/sec; Van Buren Gage,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2012Nov13,OZARRMINVE2012Nov27,7067000,Current River,Current River at Van Buren. MO,22.62,Van Buren,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2014Nov05,OZARRMINVE2014Nov19,7067000,Current River,Current River at Van Buren. MO,23.08,Van Buren (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2016Nov01,OZARRMINVE2016Nov10,7067000,Current River,Current River at Van Buren. MO,30.44,Van Buren (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2018Nov07,OZARRMINVE2018Nov19,7067000,Current River,Current River at Van Buren. MO,30.86,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2020Nov17,OZARRMINVE2020Nov19,7067000,Current River,Current River at Van Buren. MO,64.85,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,OZARRMINVE2022Oct25,OZARRMINVE2022Nov03,7067000,Current River,Current River at Van Buren. MO,30.58,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2007Nov01,OZARRMINVE2007Nov01,7067000,Current River,Current River at Van Buren. MO,21.18,Van Buren Gage,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2006JAN03,OZARRMINVE2006JAN20,7067500,Big Spring,Big Spring near Van Buren. MO,26.96,cms - BS only,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2006NOV14,OZARRMINVE2006DEC18,14134500,Current River + Big Spring,Current River and Big Spring near Van Buren. MO,54.17,cms - VB + Big Spring,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2008Nov05,OZARRMINVE2008Nov05,14134500,Current River + Big Spring,Current River and Big Spring near Van Buren. MO,35.94,VB=25.94 BS=9.99,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2009Nov06,OZARRMINVE2009Dec02,14134500,Current River + Big Spring,Current River and Big Spring near Van Buren. MO,64.02,m3/sec; Van Buren+Big Spring,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2012Nov13,OZARRMINVE2012Nov29,14134500,Current River + Big Spring,Current River and Big Spring near Van Buren. MO,30.7,Van Buren (22.09) + Big Spring (8.61),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2014Nov05,OZARRMINVE2014Nov18,14134500,Current River + Big Spring,Current River and Big Spring near Van Buren. MO,31.8,Van Buren + Big Spring (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2016Nov01,OZARRMINVE2016Nov03,14134500,Current River + Big Spring,Current River and Big Spring near Van Buren. MO,43.32,Van Buren + Big Spring (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2018Nov07,OZARRMINVE2018Nov20,14134500,Current River + Big Spring,Current River and Big Spring near Van Buren. MO,39.34,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2020Nov17,OZARRMINVE2021Jan08,14134500,Current River + Big Spring,Current River and Big Spring near Van Buren. MO,80.59,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,OZARRMINVE2022Oct25,OZARRMINVE2022Nov04,14134500,Current River + Big Spring,Current River and Big Spring near Van Buren. MO,40.38,,meters
