ParkName,ParkCode,LocationID,PeriodID,EventID,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,16,7.50,16.00,0.29,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,17,8.00,8.00,0.02,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,18,8.50,4.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,1,0.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,2,0.50,3.00,-0.02,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,3,1.00,4.00,-0.01,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,4,1.50,8.00,0.04,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,5,2.00,12.00,0.09,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,6,2.50,8.00,0.02,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,7,3.00,10.00,-0.01,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,8,3.50,12.00,0.03,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,9,4.00,22.00,0.06,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,10,4.50,22.00,0.01,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,11,5.00,30.00,0.02,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,12,5.50,40.00,0.01,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,13,6.00,42.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT05,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,14,6.50,22.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,1,0.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,2,3.00,18.00,0.46,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,3,6.00,18.00,0.09,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,4,9.00,22.00,0.61,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,5,12.00,38.00,0.70,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,6,15.00,50.00,0.70,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,7,18.00,56.00,1.05,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,8,21.00,74.00,0.88,
