ParkName,ParkCode,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,StartDate,EndDate,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,4,1.50,16.00,0.20,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,5,2.00,20.00,0.18,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,6,2.50,12.00,0.07,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,7,3.00,20.00,0.37,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,8,3.50,20.00,0.16,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,9,4.00,18.00,0.16,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,10,4.50,18.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,11,5.00,15.00,0.13,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,12,5.50,15.00,0.06,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,13,6.00,17.00,0.13,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,14,6.50,22.00,0.07,
