ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,SiteNumber,TransectNumber,SampleLocation,ChannelUnit,PoolForm,Width_Meters,Depth_Centimeters,Velocity_MetersPerSecond,Velocity_MetersPerSecond_flag,DominantWentworthSubstrate_Millimeters,WentworthMidpoint_Millimeters,EmbeddedCanopyCover,ECC_MidpointValue1_Percent,CanopyCover,ECC_MidpointValue2_Percent,Comment,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,main,1,6,Right,Run/Race,Mid-Channel Pool,38.5,98,0,A,0.25-0.50 ,0.37,Very Heavy (>75%),87.5,Very Heavy (>75%),87.5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,main,1,8,Left,Pool,Bluff Pool,27,200,0,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,main,1,6,Right,Riffle-Run Complex,NA,40,75,1.01,A,11.3-16,13.65,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,main,1,7,Right,Pool,Mid-Channel Pool,32,91,0.18,A,8-11.3,9.65,Heavy (40-75%),57.5,Heavy (40-75%),57.5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,main,1,9,Middle,Pool,Bluff Pool,25,168,0.41,A,1024-4096,2560,Sparse (<10%),5,Sparse (<10%),5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,1,2,Right,Pool,Lateral Pool,38,90,0.1,A,45-64,54.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,1,4,Middle,Pool,Lateral Pool,30.5,160,0.07,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,1,4,Right,Pool,Lateral Pool,30.5,98,0.25,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,1,8,Left,Pool,Mid-Channel Pool,28,200,0.1,A,>4096,10000,Absent (0%),0,Absent (0%),0,Over 200 cm depth,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,1,8,Middle,Pool,Mid-Channel Pool,28,200,0.05,A,>4096,10000,Absent (0%),0,Absent (0%),0,Over 200 cm depth,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,1,3,Left,Run/Race,NA,27.5,136,0.11,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,1,4,Left,Pool,Mid-Channel Pool,35.5,200,0.07,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,1,6,Right,Run/Race,NA,38,128,0.46,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,1,7,Right,Glide,NA,28,126,0.33,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,1,8,Right,Pool,Bluff Pool,33,130,0.02,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,1,10,Left,Pool,Bluff Pool,29,178,0.17,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,1,11,Left,Run/Race,NA,29,118,0.57,A,64-90,77,Sparse (<10%),5,Sparse (<10%),5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,1,5,Middle,Run/Race,NA,17.2,100,0.46,A,>4096,10000,Absent (0%),0,Absent (0%),0,depth >100cm,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,1,8,Left,Pool,Bluff Pool,20.4,130,0.31,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,1,8,Middle,Pool,Bluff Pool,20.4,132,0.2,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,1,10,Left,Riffle,NA,20.8,68,0.92,A,90-128,109,Sparse (<10%),5,Sparse (<10%),5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,1,11,Middle,Riffle-Run Complex,NA,47.4,34,0.4,A,11.3-16,13.65,Sparse (<10%),5,Sparse (<10%),5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,main,1,1,Right,Run/Race,NA,41.8,44,0.42,A,32-45,38.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,main,1,5,Middle,Run/Race,NA,16.8,136,0.64,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,main,1,5,Right,Run/Race,NA,16.8,128,0.6,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,main,1,6,Right,Run/Race,NA,16.8,115,0.91,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,3,Left,Pool,Mid-Channel Pool,53,130,0.00999999977648258,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,4,Left,Pool,Lateral Pool,33,116,0.01,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,4,Middle,Pool,Lateral Pool,33,154,0.01,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,5,Left,Pool,Lateral Pool,29,123,0.03,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,5,Middle,Pool,Lateral Pool,29,122,0.07,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,6,Left,Pool,Lateral Pool,55,110,0.05,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,8,Left,Pool,Lateral Pool,37,152,0.07,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,8,Middle,Pool,Lateral Pool,37,154,0,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,8,Right,Pool,Lateral Pool,37,190,0,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,1,9,Left,Pool,Lateral Pool,37,120,0.03,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,main,1,4,Left,Pool,Mid-Channel Pool,30,138,-0.03,R,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,main,1,5,Middle,Pool,Mid-Channel Pool,25,136,0.14,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,main,1,7,Middle,Pool,Bluff Pool,33,178,0.12,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,main,1,8,Left,Pool,Bluff Pool,30,140,0.15,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,main,1,8,Middle,Pool,Bluff Pool,30,184,0.12,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,main,1,10,Left,Run/Race,NA,42,138,0.01,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2008May19,BUFFRMFish2008Jun03,main,1,6,Left,Pool,Bluff Pool,30,184,0.31,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,main,1,3,Left,Run/Race,NA,52.12,76,-0.03,R,128-180,154,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,main,1,7,Left,Pool,Bluff Pool,33.4,36,-999,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,main,1,8,Left,Pool,Bluff Pool,33.7,140,-999,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,main,1,8,Middle,Pool,Bluff Pool,33.7,176,-999,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,main,1,9,Left,Run/Race,NA,41.8,62,-999,A,128-180,154,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,main,1,5,Left,Run/Race,NA,33,150,0.23,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,main,1,5,Middle,Run/Race,NA,33,164,0.37,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,main,1,8,Left,Pool,Backwater Pool,39,140,0.25,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,main,1,8,Middle,Pool,Backwater Pool,39,180,0.28,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,main,1,8,Right,Pool,Backwater Pool,39,146,0.05,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2013May20,BUFFRMFish2013Jun19,main,1,3,Left,Run/Race,NA,54.5,108,0.01,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
