ParkName,ParkCode,LocationID,PeriodID,EventID,SiteNumber,Beginning_Ending,TimeSampled_hhmm_mil,WaterTemp_Celcius,AirTemp_Celcius,pH,SpecificConductance_MicrosiemensPerCentimeter,Conductivity_MicrosiemensPerCentimeter,DissolvedOxygen_MilligramsPerLiter,SecchiTube_Centimeters,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2019May22,BUFFRMFISH2019Jun20,1,BEGINNING,11:46:00,26.7,-999,8.3,214.6,221.4,-999,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2019May22,BUFFRMFISH2019Jun20,1,ENDING,15:43:00,28.4,-999,8.05,216,229.1,11.07,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2023May23,BUFFRMFISH2023Jun14,1,BEGINNING,13:23:00,26.3,-999,8.38,236.6,242.5,8.4,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2023May23,BUFFRMFISH2023Jun14,1,ENDING,16:32:00,28.4,-999,8.43,233.2,248.3,9.29,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBT01,BUFFRMFISH2009May19,BUFFRMFish2009May19,1,BEGINNING,09:33:00,13.2,18,6.98,112.6,87.2,9.43,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBT01,BUFFRMFISH2009May19,BUFFRMFish2009May19,1,ENDING,10:30:00,13.5,23,7.41,126,99.1,9.53,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY22,1,BEGINNING,09:58:00,15.8,15,7.54,151.1,116,7.73,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY22,1,ENDING,11:46:00,16.6,19,7.04,100.6,75,8.59,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBT04,BUFFRMFISH2008May19,BUFFRMFish2008May21,1,BEGINNING,13:00:00,17.4,24,7.68,184.3,138.1,9.26,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBT04,BUFFRMFISH2008May19,BUFFRMFish2008May21,1,ENDING,14:50:00,19.3,25,7.47,167.8,122.4,8.52,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2007May21,BUFFRMFish2007May21,1,BEGINNING,13:20:00,16.1,26,7.56,208,160,11.89,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2007May21,BUFFRMFish2007May21,1,ENDING,15:15:00,17.3,27,7.32,202.2,151.9,11.52,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFrmfish2015May22,BUFFrmfish2015Jun03,1,BEGINNING,11:54:00,18.3,28,8.1,180.6,157.1,10.03,-999,Event,MachineObservation
