Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2009Dec07	2009	12/7/2009 0:00:00	1/21/2010 0:00:00	BUFFRMINVE2009Dec08	2	M	-999.00	14.00	0.38	16.00	1.00	0.00	2.00	2.00	2.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2009Dec07	2009	12/7/2009 0:00:00	1/21/2010 0:00:00	BUFFRMINVE2009Dec08	2	R	-999.00	18.00	0.34	16.00	2.00	0.00	2.00	2.00	2.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2011Dec01	2011	12/1/2011 0:00:00	1/18/2012 0:00:00	BUFFRMINVE2012Jan05	2	L	-999.00	30.00	0.37	15.00	1.00	0.00	0.00	2.00	3.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2011Dec01	2011	12/1/2011 0:00:00	1/18/2012 0:00:00	BUFFRMINVE2012Jan05	2	M	-999.00	32.00	0.66	16.00	1.00	0.00	0.00	2.00	3.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2011Dec01	2011	12/1/2011 0:00:00	1/18/2012 0:00:00	BUFFRMINVE2012Jan05	2	R	-999.00	22.00	0.45	16.00	1.00	0.00	0.00	2.00	3.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2013Nov21	2013	11/21/2013 0:00:00	2/19/2014 0:00:00	BUFFRMINVE2014Jan29	2	L	-999.00	30.00	0.26	17.00	2.00	0.00	0.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2013Nov21	2013	11/21/2013 0:00:00	2/19/2014 0:00:00	BUFFRMINVE2014Jan29	2	M	-999.00	20.00	0.70	16.00	2.00	0.00	1.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2013Nov21	2013	11/21/2013 0:00:00	2/19/2014 0:00:00	BUFFRMINVE2014Jan29	2	R	-999.00	24.00	0.69	17.00	2.00	0.00	0.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2015Nov23	2015	11/23/2015 0:00:00	12/18/2015 0:00:00	BUFFRMINVE2015Dec17	2	L	-999.00	28.00	0.65	16.00	2.00	0.00	0.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2015Nov23	2015	11/23/2015 0:00:00	12/18/2015 0:00:00	BUFFRMINVE2015Dec17	2	M	-999.00	34.00	0.74	16.00	2.00	0.00	0.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2015Nov23	2015	11/23/2015 0:00:00	12/18/2015 0:00:00	BUFFRMINVE2015Dec17	2	R	-999.00	28.00	0.24	17.00	2.00	0.00	0.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2019Nov04	2019	11/4/2019 0:00:00	11/21/2019 0:00:00	BUFFRMINVE2019Nov18	2	L	-999.00	37.00	0.49	15.00	2.00	2.00	1.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2019Nov04	2019	11/4/2019 0:00:00	11/21/2019 0:00:00	BUFFRMINVE2019Nov18	2	M	-999.00	34.00	0.43	15.00	3.00	0.00	1.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2019Nov04	2019	11/4/2019 0:00:00	11/21/2019 0:00:00	BUFFRMINVE2019Nov18	2	R	-999.00	50.00	0.47	15.00	3.00	0.00	1.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2021Nov01	2021	11/1/2021 0:00:00	11/10/2021 0:00:00	BUFFRMINVE2021Nov10	2	L	-999.00	22.00	0.32	17.00	2.00	1.00	1.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2021Nov01	2021	11/1/2021 0:00:00	11/10/2021 0:00:00	BUFFRMINVE2021Nov10	2	M	-999.00	18.00	0.37	17.00	3.00	1.00	0.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2021Nov01	2021	11/1/2021 0:00:00	11/10/2021 0:00:00	BUFFRMINVE2021Nov10	2	R	-999.00	19.00	0.32	16.00	3.00	0.00	1.00	3.00	-999.00	-999.00	
