ParkName,ParkCode,LocationType,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,StartDate,EndDate,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,3,0.2,6,0.01,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,4,0.3,8,0.1,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,5,0.4,10,0.09,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,6,0.5,9,0.15,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,7,0.6,10,0.22,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,8,0.7,10,0.13,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,9,0.8,8,0.24,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,10,0.9,8,0.02,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,11,1,6,0.01,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,12,1.1,4,-0.03,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,1,0,0,0,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,2,0.5,14,0,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,3,1,18,0.01,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,4,1.5,16,0.2,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,5,2,20,0.18,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,6,2.5,12,0.07,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,7,3,20,0.37,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,8,3.5,20,0.16,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,9,4,18,0.16,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,10,4.5,18,0,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,11,5,15,0.13,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,12,5.5,15,0.06,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,13,6,17,0.13,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,14,6.5,22,0.07,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,15,7,20,0.06,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec04,meters,16,7.5,16,0.29,,
