Status,ReachID,ActiveDates,startUTMZone,XstartUTM,YstartUTM,startUTMDatum,XstartDD,YstartDD,startDDDatum,LocationID,dwcType,dwcBasisOfRecord
Retired,CURRT04,2010,15N,654034.4066,4116583.499,EPSG:32615,-91.265,37.183,EPSG:4326,OZAR_RMFISH_CT04,Event,MachineObservation
Active,JACKT03,2009 - Present,15N,650687.4994,4115092.721,EPSG:32615,-91.303,37.17,EPSG:4326,OZAR_RMFISH_JT03,Event,MachineObservation
Active,CURRT06,2010 - Present,15N,658937.8445,4116464.036,EPSG:32615,-91.21,37.181,EPSG:4326,OZAR_RMFISH_CT06,Event,MachineObservation
Retired,CURRT12,2010,15N,672226.0729,4102333.032,EPSG:32615,-91.063,37.051,EPSG:4326,OZAR_RMFISH_CT12,Event,MachineObservation
Active,CURRT15,2012 - Present,15N,623111.9811,4141833.951,EPSG:32615,-91.609,37.415,EPSG:4326,OZAR_RMFISH_CT15,Event,MachineObservation
Active,CURRT14,2012 - Present,15N,641264.8283,4129873.082,EPSG:32615,-91.406,37.305,EPSG:4326,OZAR_RMFISH_CT14,Event,MachineObservation
Active,CURRT16,2014 - Present,15N,648128.6415,4123924.295,EPSG:32615,-91.33,37.25,EPSG:4326,OZAR_RMFISH_CT16,Event,MachineObservation
Active,OZARSPRWEL,2007 - Present,15N,626226.1853,4139541.75,EPSG:32615,-91.574,37.394,EPSG:4326,NA,Event,MachineObservation
Active,OZARSPRPUL,2007 - Present,15N,633749.4692,4133088.923,EPSG:32615,-91.49,37.335,EPSG:4326,NA,Event,MachineObservation
Active,OZARSPRROU,2007 - Present,15N,641147.0943,4127382.492,EPSG:32615,-91.408,37.282,EPSG:4326,NA,Event,MachineObservation
Active,OZARSPRALL,2007 - Present,15N,638405.2488,4113069.72,EPSG:32615,-91.441,37.154,EPSG:4326,NA,Event,MachineObservation
Active,OZARSPRBLU,2007 - Present,15N,663158.1435,4114876.862,EPSG:32615,-91.162,37.166,EPSG:4326,NA,Event,MachineObservation
Active,OZARSPRBIG,2007 - Present,15N,678704.0399,4091380.656,EPSG:32615,-90.993,36.952,EPSG:4326,NA,Event,MachineObservation
Active,OZARSPRPHI,2011 - Present,15N,683241.5735,4078614.883,EPSG:32615,-90.945,36.836,EPSG:4326,NA,Event,MachineObservation
Active,BUFFM01,2005 - Present,15N,464230.4217,3981180.315,EPSG:32615,-93.397,35.974,EPSG:4326,BUFF_RMFISH_BM01,Event,MachineObservation
Active,BUFFM02,2005 - Present,15N,490531.4691,3988107.449,EPSG:32615,-93.105,36.037,EPSG:4326,BUFF_RMFISH_BM02,Event,MachineObservation
Active,BUFFT09,2006 - Present,15N,489940.9736,3987663.953,EPSG:32615,-93.112,36.033,EPSG:4326,BUFF_RMFISH_BT09,Event,MachineObservation
Active,BUFFM03,2005 - Present,15N,499451.3649,3983911.835,EPSG:32615,-93.006,36,EPSG:4326,BUFF_RMFISH_BM03,Event,MachineObservation
Retired,BUFFM04,2005-2010,15N,520207.7351,3981984.401,EPSG:32615,-92.776,35.982,EPSG:4326,BUFF_RMFISH_BM04,Event,MachineObservation
Active,BUFFM05,2005 - Present,15N,528624.8545,3985161.759,EPSG:32615,-92.682,36.011,EPSG:4326,BUFF_RMFISH_BM05,Event,MachineObservation
Retired,BUFFT22,2006,15N,537130.9511,3986206.62,EPSG:32615,-92.588,36.02,EPSG:4326,BUFF_RMFISH_BT22,Event,MachineObservation
Active,BUFFM06,2005 - Present,15N,545208.7447,3994672.923,EPSG:32615,-92.498,36.096,EPSG:4326,BUFF_RMFISH_BM06,Event,MachineObservation
Retired,BUFFT03,2006,15N,463861.5821,3983130.922,EPSG:32615,-93.401,35.992,EPSG:4326,BUFF_RMFISH_BT03,Event,MachineObservation
Active,BUFFT31,2006 - Present,15N,551559.3495,3996227.704,EPSG:32615,-92.427,36.109,EPSG:4326,BUFF_RMFISH_BT31,Event,MachineObservation
Active,BUFFT30,2006 - Present,15N,551612.6056,3993466.239,EPSG:32615,-92.427,36.084,EPSG:4326,BUFF_RMFISH_BT30,Event,MachineObservation
Retired,BUFFT24,2006,15N,540327.809,3991984.759,EPSG:32615,-92.552,36.072,EPSG:4326,BUFF_RMFISH_BT24,Event,MachineObservation
Active,BUFFT05,2007 - Present,15N,480038.5259,3992818.666,EPSG:32615,-93.222,36.08,EPSG:4326,BUFF_RMFISH_BT05,Event,MachineObservation
Active,BUFFT07,2007 - Present,15N,487827.5099,3990728.241,EPSG:32615,-93.135,36.061,EPSG:4326,BUFF_RMFISH_BT07,Event,MachineObservation
Retired,BUFFT12,2007,15N,492469.2143,3983166.504,EPSG:32615,-93.084,35.993,EPSG:4326,BUFF_RMFISH_BT12,Event,MachineObservation
Retired,BUFFT13,2008,15N,495785.1283,3980856.975,EPSG:32615,-93.047,35.972,EPSG:4326,BUFF_RMFISH_BT13,Event,MachineObservation
Active,BUFFT15,2008 - Present,15N,503954.2181,3985110.758,EPSG:32615,-92.956,36.01,EPSG:4326,BUFF_RMFISH_BT15,Event,MachineObservation
Retired,BUFFT16,2008,15N,504349.1571,3985235.684,EPSG:32615,-92.952,36.012,EPSG:4326,BUFF_RMFISH_BT16,Event,MachineObservation
Active,BUFFT19,2008 - Present,15N,520558.9553,3981081.124,EPSG:32615,-92.772,35.974,EPSG:4326,BUFF_RMFISH_BT19,Event,MachineObservation
Retired,BUFFT21,2007,15N,528358.941,3983921.169,EPSG:32615,-92.685,35.999,EPSG:4326,BUFF_RMFISH_BT21,Event,MachineObservation
Retired,BUFFT25,2007,15N,539898.6072,3993671.913,EPSG:32615,-92.557,36.087,EPSG:4326,BUFF_RMFISH_BT25,Event,MachineObservation
Retired,BUFFT28,2008,15N,544149.9552,3998686.967,EPSG:32615,-92.509,36.132,EPSG:4326,BUFF_RMFISH_BT28,Event,MachineObservation
Retired,BUFFT33,2007,15N,552512.0577,4000971.086,EPSG:32615,-92.416,36.152,EPSG:4326,BUFF_RMFISH_BT33,Event,MachineObservation
Retired,BUFFT04,2008,15N,471964.3642,3990502.705,EPSG:32615,-93.311,36.059,EPSG:4326,BUFF_RMFISH_BT04,Event,MachineObservation
Retired,BUFFT01,2009,15N,464362.8436,3977975.544,EPSG:32615,-93.395,35.945,EPSG:4326,BUFF_RMFISH_BT01,Event,MachineObservation
Retired,BUFFT06,2009,15N,481367.55,3992848.57,EPSG:32615,-93.207,36.08,EPSG:4326,BUFF_RMFISH_BT06,Event,MachineObservation
Retired,BUFFT08,2010,15N,489480.2196,3989716.01,EPSG:32615,-93.117,36.052,EPSG:4326,BUFF_RMFISH_BT08,Event,MachineObservation
Retired,BUFFT10,2009,15N,491031.748,3986751.818,EPSG:32615,-93.1,36.025,EPSG:4326,BUFF_RMFISH_BT10,Event,MachineObservation
Retired,BUFFT11,2009,15N,492332.743,3984111.079,EPSG:32615,-93.085,36.001,EPSG:4326,BUFF_RMFISH_BT11,Event,MachineObservation
Retired,BUFFT14,2010,15N,499773.1745,3983377.902,EPSG:32615,-93.003,35.995,EPSG:4326,BUFF_RMFISH_BT14,Event,MachineObservation
Retired,BUFFT17,2010,15N,509219.8351,3975383.595,EPSG:32615,-92.898,35.923,EPSG:4326,BUFF_RMFISH_BT17,Event,MachineObservation
Active,BUFFM04,2013 - present,15N,520051.5504,3982119.898,EPSG:32615,-92.778,35.983,EPSG:4326,BUFF_RMFISH_BM04,Event,MachineObservation
Active,BUFFT20,2009 - Present,15N,527094.5304,3982824.761,EPSG:32615,-92.699,35.989,EPSG:4326,BUFF_RMFISH_BT20,Event,MachineObservation
Active,BUFFT23,2009 - Present,15N,537818.3262,3989678.235,EPSG:32615,-92.58,36.051,EPSG:4326,BUFF_RMFISH_BT23,Event,MachineObservation
Active,BUFFT27,2010 - Present,15N,540753.9035,3998691.588,EPSG:32615,-92.547,36.132,EPSG:4326,BUFF_RMFISH_BT27,Event,MachineObservation
Retired,BUFFT29,2010,15N,547354.7112,3992058.809,EPSG:32615,-92.474,36.072,EPSG:4326,BUFF_RMFISH_BT29,Event,MachineObservation
Retired,BUFFT32,2010,15N,551000.4997,3999029.236,EPSG:32615,-92.433,36.135,EPSG:4326,BUFF_RMFISH_BT32,Event,MachineObservation
