TaxonCode,TSN,Taxon,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
CHLOHA,103260,Haploperla,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Haploperla,1.3,C,Collectors
HEMI,103359,Hemiptera,Arthropoda,Insecta,Hemiptera,,,,,Pr,Predators
CORI,103364,Corixidae,Arthropoda,Insecta,Hemiptera,Corixidae,,,9,He,Herbivores
CORI,103364,Corixidae,Arthropoda,Insecta,Hemiptera,Corixidae,,,9,Pr,Predators
CORISI,103369,Sigara,Arthropoda,Insecta,Hemiptera,Corixidae,,Sigara,9,Pr,Predators
CORITR,103423,Trichocorixa,Arthropoda,Insecta,Hemiptera,Corixidae,,Trichocorixa,5,Pr,Predators
CORIPA,103491,Palmacorixa,Arthropoda,Insecta,Hemiptera,Corixidae,,Palmacorixa,5,Pr,Predators
GERR,103801,Gerridae,Arthropoda,Insecta,Hemiptera,Gerridae,,,5,Pr,Predators
GERRRH,103802,Rheumatobates,Arthropoda,Insecta,Hemiptera,Gerridae,,Rheumatobates,,Pr,Predators
GERRGE,103829,Gerris,Arthropoda,Insecta,Hemiptera,Gerridae,,Gerris,5,Pr,Predators
VELI,103885,Veliidae,Arthropoda,Insecta,Hemiptera,Veliidae,,,7,Pr,Predators
VELIRH,103886,Rhagovelia,Arthropoda,Insecta,Hemiptera,Veliidae,,Rhagovelia,5,Pr,Predators
VELIMI,103900,Microvelia,Arthropoda,Insecta,Hemiptera,Veliidae,,Microvelia,6.4,Pr,Predators
HEBRHE,103965,Hebrus,Arthropoda,Insecta,Hemiptera,Hebridae,,Hebrus,,Pr,Predators
HEBRME,103983,Merragata,Arthropoda,Insecta,Hemiptera,Hebridae,,Merragata,,Pr,Predators
HEBRLI,103986,Lipogomphus,Arthropoda,Insecta,Hemiptera,Hebridae,,Lipogomphus,,Pr,Predators
HALIPE,111923,Peltodytes,Arthropoda,Insecta,Coleoptera,Haliplidae,,Peltodytes,8.5,He,Herbivores
HALIPE,111923,Peltodytes,Arthropoda,Insecta,Coleoptera,Haliplidae,,Peltodytes,8.5,C,Collectors
DYTIAG,111966,Agabus,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Agabus,5,Pr,Predators
DYTIHG,112200,Hygrotus,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Hygrotus,,Pr,Predators
GYRIDI,112711,Dineutus,Arthropoda,Insecta,Coleoptera,Gyrinidae,,Dineutus,5.5,Pr,Predators
HYDNHY,112757,Hydraena,Arthropoda,Insecta,Coleoptera,Hydraenidae,,Hydraena,6,Sc,Scrapers
HYDNHY,112757,Hydraena,Arthropoda,Insecta,Coleoptera,Hydraenidae,,Hydraena,6,C,Collectors
HYDPBE,112812,Berosus,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Berosus,8.6,He,Herbivores
HYDPBE,112812,Berosus,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Berosus,8.6,C,Collectors
HYDPTR,112938,Tropisternus,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Tropisternus,9.8,C,Collectors
HYDPTR,112938,Tropisternus,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Tropisternus,9.8,Pr,Predators
HYDPEN,112973,Enochrus,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Enochrus,8.5,C,Collectors
HYDPHY,113196,Hydrobius,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius,5,C,Collectors
