ParkName,ParkCode,Season,LocationID,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,DETimeStamp
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,12,33,44,0.65,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,13,36,22,0.42,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,14,39,22,0.46,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,15,42,20,0.33,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,16,45,6,0.01,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,17,48,10,0.04,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,18,51,14,0.17,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,19,54,12,0.2,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,1,0,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,2,0.5,2,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,3,1,8,0.01,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,4,1.5,16,0.03,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,5,2,28,0.06,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,6,2.5,28,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,7,3,43,0.08,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,8,3.5,48,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,9,4,56,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,10,4.5,61,0.11,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,11,5,56,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,12,5.5,52,0.08,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,13,6,32,0.06,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,14,6.5,25,0.02,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,15,7,22,0.01,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,16,7.5,21,0.05,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,meters,17,8,10,0.03,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,1,0,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,2,3,18,0.49,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,3,6,22,0.4,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,4,9,24,0.39,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,5,12,32,0.45,,10/5/2020 11:46
