ParkName,ParkCode,Season,LocationID,EventID,Units,GaugeSiteNo,GaugeLocation,Discharge_cms,Comments,DETimeStamp
Ozark National Scenic Riverways - RIVERS,OZAR,2016,OZARRMINVECM03,OZARRMINVE2016Nov03,meters,7064533,"Current River above Akers, MO ",6.94,Akers (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2016,OZARRMINVECM04,OZARRMINVE2016Nov10,meters,7067000,"Current River at Van Buren, MO ",30.44,Van Buren (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2016,OZARRMINVECM05,OZARRMINVE2016Nov10,meters,7067000,"Current River at Van Buren, MO ",30.44,Van Buren (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2016,OZARRMINVECM06,OZARRMINVE2016Nov03,meters,14134500,"Current River + Big Spring at/near Van Buren, MO ",43.32,Van Buren + Big Spring (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2016,OZARRMINVEJM01,OZARRMINVE2016Nov01,meters,7065200,"Jacks Fork near Mountain View, MO ",1.18,Mtn. View (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2016,OZARRMINVEJM02,OZARRMINVE2016Nov01,meters,7065200,"Jacks Fork near Mountain View, MO ",1.18,Mtn. View (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2016,OZARRMINVEJM03,OZARRMINVE2016Nov02,meters,7065200,"Jacks Fork near Mountain View, MO ",1.16,Mtn. View (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2018,OZARRMINVECM01,OZARRMINVE2018Nov13,meters,7064440,"Current River at Montauk State Park, MO ",3.23,,2/9/2021 9:11
Ozark National Scenic Riverways - RIVERS,OZAR,2018,OZARRMINVECM02,OZARRMINVE2018Nov08,meters,7064533,"Current River above Akers, MO ",7.62,,2/9/2021 10:25
Ozark National Scenic Riverways - RIVERS,OZAR,2018,OZARRMINVECM03,OZARRMINVE2018Nov13,meters,7064533,"Current River above Akers, MO ",7.62,,2/9/2021 11:35
Ozark National Scenic Riverways - RIVERS,OZAR,2018,OZARRMINVECM04,OZARRMINVE2018Nov19,meters,7067000,"Current River at Van Buren, MO ",30.86,,2/10/2021 9:14
Ozark National Scenic Riverways - RIVERS,OZAR,2018,OZARRMINVECM05,OZARRMINVE2018Nov19,meters,7067000,"Current River at Van Buren, MO ",30.86,,2/10/2021 10:47
Ozark National Scenic Riverways - RIVERS,OZAR,2018,OZARRMINVECM06,OZARRMINVE2018Nov20,meters,14134500,"Current River + Big Spring at/near Van Buren, MO ",39.34,,2/10/2021 14:04
Ozark National Scenic Riverways - RIVERS,OZAR,2018,OZARRMINVEJM01,OZARRMINVE2018Nov07,meters,7065200,"Jacks Fork near Mountain View, MO ",5.29,,2/18/2021 7:28
Ozark National Scenic Riverways - RIVERS,OZAR,2018,OZARRMINVEJM02,OZARRMINVE2018Nov07,meters,7065200,"Jacks Fork near Mountain View, MO ",5.29,,2/24/2021 9:03
Ozark National Scenic Riverways - RIVERS,OZAR,2018,OZARRMINVEJM03,OZARRMINVE2018Nov07,meters,7065200,"Jacks Fork near Mountain View, MO ",3.82,,2/24/2021 10:07
Ozark National Scenic Riverways - RIVERS,OZAR,2020,OZARRMINVECM01,OZARRMINVE2020Nov17,meters,7064440,"Current River at Montauk State Park, MO ",3.37,,2/24/2023 8:44
Ozark National Scenic Riverways - RIVERS,OZAR,2020,OZARRMINVECM02,OZARRMINVE2021Jan11,meters,7064533,"Current River above Akers, MO ",9.97,,2/24/2023 9:42
Ozark National Scenic Riverways - RIVERS,OZAR,2020,OZARRMINVECM03,OZARRMINVE2020Dec11,meters,7064533,"Current River above Akers, MO ",9.83,,2/24/2023 10:40
Ozark National Scenic Riverways - RIVERS,OZAR,2020,OZARRMINVECM04,OZARRMINVE2021Jan05,meters,7067000,"Current River at Van Buren, MO ",77.59,,2/24/2023 11:21
Ozark National Scenic Riverways - RIVERS,OZAR,2020,OZARRMINVECM05,OZARRMINVE2020Nov19,meters,7067000,"Current River at Van Buren, MO ",64.85,,2/24/2023 12:01
Ozark National Scenic Riverways - RIVERS,OZAR,2020,OZARRMINVECM06,OZARRMINVE2021Jan08,meters,14134500,"Current River + Big Spring at/near Van Buren, MO ",80.59,,2/24/2023 12:43
Ozark National Scenic Riverways - RIVERS,OZAR,2020,OZARRMINVEJM01,OZARRMINVE2020Dec08,meters,7065200,"Jacks Fork near Mountain View, MO ",2.23,,2/27/2023 13:04
Ozark National Scenic Riverways - RIVERS,OZAR,2020,OZARRMINVEJM02,OZARRMINVE2020Dec10,meters,7065200,"Jacks Fork near Mountain View, MO ",2.06,,2/27/2023 14:26
