ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,ChannelTypeDescr,SiteNumber,TransectNumber,SampleLocation,SampleLocationDescr,ChannelUnit,ChannelUnitDescr,PoolForm,Width_m,Depth_cm,Velocity_ms,DomSubstrate,WentworthSubstrateDescr,WentworthMidpoint,Embeddedness,EmbedCanCoverDescrb,ECC_MidpoinValueb,CanopyCover,EmbedCanCoverDescr,ECC_MidpoinValue,Comment
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,The channel that contains the majority of flow,1,8,M,Middle,PO,Pool,F,20.40,132,0.20,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,The channel that contains the majority of flow,1,10,L,Left,RI,Riffle,N/A,20.80,68,0.92,17,90-128 mm,109.00,1,Sparse (<10%),5.00,1,Sparse (<10%),5.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,The channel that contains the majority of flow,1,11,M,Middle,RRX,Riffle-Run Complex,N/A,47.40,34,0.40,11,11.3-16 mm,13.65,1,Sparse (<10%),5.00,1,Sparse (<10%),5.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,main,The channel that contains the majority of flow,1,1,R,Right,RU,Run/Race,N/A,41.80,44,0.42,14,32-45 mm,38.50,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,main,The channel that contains the majority of flow,1,5,M,Middle,RU,Run/Race,N/A,16.80,136,0.64,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,main,The channel that contains the majority of flow,1,5,R,Right,RU,Run/Race,N/A,16.80,128,0.60,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,main,The channel that contains the majority of flow,1,6,R,Right,RU,Run/Race,N/A,16.80,115,0.91,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,The channel that contains the majority of flow,1,3,L,Left,PO,Pool,M,53.00,130,9.99999977648258e-03,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,The channel that contains the majority of flow,1,4,L,Left,PO,Pool,L,33.00,116,0.01,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,The channel that contains the majority of flow,1,4,M,Middle,PO,Pool,L,33.00,154,0.01,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,The channel that contains the majority of flow,1,5,L,Left,PO,Pool,L,29.00,123,0.03,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,The channel that contains the majority of flow,1,5,M,Middle,PO,Pool,L,29.00,122,0.07,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,The channel that contains the majority of flow,1,6,L,Left,PO,Pool,L,55.00,110,0.05,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,main,The channel that contains the majority of flow,1,8,L,Left,PO,Pool,L,37.00,152,0.07,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
